GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,AGE_YEARS,YEARS_EMPLOYED,Family_Members,label
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1.0,3,1
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,59.0,9.0,2,0
F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,33.0,13.0,2,1
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,2,0
M,Y,Y,0,225000.0,Working,Higher education,Married,Rented apartment,29.0,1.0,2,0
M,N,N,1,405000.0,Working,Secondary / secondary special,Married,With parents,35.0,4.0,3,0
F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.0,2.0,2,0
M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,3.0,2,0
F,Y,N,0,153000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,0.0,1,0
F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,41.0,15.0,2,0
F,N,Y,1,135000.0,Working,Academic degree,Civil marriage,House / apartment,48.0,21.0,3,0
M,N,Y,1,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,0.0,2,1
M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,9.0,2,0
F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,53.0,32.0,2,0
F,N,N,0,126000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,46.0,16.0,2,0
M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,33.0,5.0,2,0
M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,33.0,3.0,4,0
F,N,Y,0,103500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47.0,4.0,2,0
F,N,N,1,112500.0,Commercial associate,Higher education,Married,With parents,34.0,9.0,3,0
M,Y,Y,0,252000.0,Commercial associate,Higher education,Married,House / apartment,38.0,7.0,2,0
M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,2.0,2,0
M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,32.0,6.0,1,0
F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.0,6.0,2,1
F,N,N,0,225000.0,Pensioner,Higher education,Separated,House / apartment,60.0,0.0,1,0
F,Y,N,0,126000.0,State servant,Incomplete higher,Single / not married,House / apartment,33.0,14.0,1,0
M,N,N,1,247500.0,Working,Higher education,Single / not married,House / apartment,38.0,5.0,2,0
F,N,N,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,43.0,14.0,1,0
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,58.0,0.0,1,0
M,N,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,27.0,1.0,1,0
F,N,N,0,157500.0,Working,Higher education,Separated,House / apartment,47.0,8.0,1,0
F,N,Y,0,166500.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,1,1
F,N,N,1,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,41.0,7.0,3,0
M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,7.0,2,0
M,N,Y,0,270000.0,Working,Higher education,Single / not married,House / apartment,42.0,9.0,1,0
F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,61.0,0.0,1,0
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,2,1
M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.0,20.0,2,1
F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.0,3.0,4,1
F,N,Y,0,292500.0,Working,Higher education,Separated,House / apartment,54.0,35.0,1,0
F,Y,N,1,360000.0,Working,Higher education,Widow,House / apartment,45.0,11.0,2,0
F,N,Y,1,112500.0,Working,Higher education,Single / not married,House / apartment,42.0,3.0,2,0
M,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,29.0,6.0,2,0
F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,0.0,2,0
F,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,35.0,3.0,1,0
M,N,N,0,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,34.0,14.0,2,0
M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,50.0,8.0,2,0
F,N,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,50.0,6.0,1,0
F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,35.0,3.0,3,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,8.0,2,0
F,Y,N,1,225000.0,Working,Higher education,Civil marriage,House / apartment,37.0,3.0,3,0
M,N,N,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,39.0,17.0,1,0
F,N,Y,2,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,4.0,3,0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,0.0,1,0
F,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,30.0,3.0,1,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,36.0,2.0,2,0
F,N,N,0,94500.0,Working,Higher education,Married,House / apartment,25.0,3.0,2,0
M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,43.0,1.0,1,1
F,Y,Y,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,34.0,10.0,3,0
F,Y,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,26.0,4.0,2,0
F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.0,9.0,2,0
F,Y,Y,1,180000.0,Working,Higher education,Separated,House / apartment,52.0,16.0,2,0
F,Y,Y,2,540000.0,Working,Higher education,Single / not married,House / apartment,39.0,1.0,3,0
M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,67.0,0.0,2,0
F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.0,6.0,2,0
F,N,Y,2,126000.0,Working,Secondary / secondary special,Married,House / apartment,27.0,4.0,4,0
M,Y,N,0,337500.0,Working,Secondary / secondary special,Single / not married,With parents,31.0,9.0,1,0
M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,32.0,0.0,1,1
M,Y,Y,0,166500.0,Working,Secondary / secondary special,Single / not married,House / apartment,28.0,1.0,1,0
F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,Municipal apartment,65.0,0.0,1,0
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,67.0,0.0,1,0
M,N,N,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,43.0,1.0,1,0
M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.0,1.0,2,0
F,N,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,49.0,5.0,1,0
F,N,N,0,270000.0,Working,Incomplete higher,Civil marriage,House / apartment,24.0,1.0,2,0
F,N,N,0,180000.0,Working,Incomplete higher,Married,House / apartment,54.0,5.0,2,0
M,Y,N,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,27.0,5.0,2,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,48.0,5.0,1,0
F,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,63.0,7.0,1,0
M,Y,N,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.0,4.0,2,0
F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,9.0,2,0
F,N,Y,0,90000.0,Working,Higher education,Married,House / apartment,52.0,5.0,2,0
M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44.0,5.0,3,0
F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,38.0,0.0,2,1
F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,40.0,6.0,3,0
F,N,N,0,180000.0,Commercial associate,Incomplete higher,Married,With parents,23.0,1.0,2,0
M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,32.0,3.0,1,0
F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,2,1
M,Y,Y,0,180000.0,State servant,Secondary / secondary special,Married,House / apartment,26.0,7.0,2,0
M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,53.0,7.0,1,0
F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.0,6.0,2,0
F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,6.0,2,0
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,53.0,21.0,2,0
F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.0,0.0,1,1
M,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,8.0,3,0
F,N,N,0,315000.0,State servant,Higher education,Married,House / apartment,58.0,18.0,2,0
F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,27.0,5.0,4,1
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,15.0,2,0
M,Y,N,0,99000.0,State servant,Secondary / secondary special,Married,House / apartment,53.0,1.0,2,0
F,N,N,2,180000.0,State servant,Secondary / secondary special,Married,Office apartment,31.0,8.0,4,0
F,N,N,2,81000.0,Working,Lower secondary,Single / not married,House / apartment,42.0,6.0,3,0
F,N,Y,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,45.0,10.0,3,0
F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,9.0,2,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42.0,9.0,4,0
F,N,N,0,112500.0,Commercial associate,Incomplete higher,Married,House / apartment,28.0,6.0,2,0
F,N,Y,0,166500.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,2,1
M,Y,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,38.0,4.0,1,0
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,53.0,15.0,3,0
F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,40.0,4.0,3,0
F,Y,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,39.0,0.0,3,0
M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,44.0,7.0,1,0
F,N,N,0,112500.0,State servant,Secondary / secondary special,Widow,House / apartment,53.0,14.0,1,0
M,Y,N,2,202500.0,Working,Higher education,Married,House / apartment,32.0,2.0,4,0
F,N,Y,1,135000.0,Commercial associate,Incomplete higher,Married,House / apartment,28.0,7.0,3,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,52.0,9.0,1,0
F,Y,Y,0,112500.0,Working,Secondary / secondary special,Widow,House / apartment,54.0,7.0,1,0
F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,2.0,2,0
M,Y,N,0,157500.0,Working,Higher education,Married,House / apartment,56.0,6.0,2,0
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,49.0,15.0,2,0
F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,64.0,0.0,1,0
F,N,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,55.0,22.0,3,0
M,Y,Y,1,180000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,43.0,18.0,3,0
M,N,N,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.0,15.0,3,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,23.0,4.0,1,0
F,Y,N,0,95850.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,18.0,2,0
M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,2,1
F,Y,Y,2,315000.0,State servant,Secondary / secondary special,Married,House / apartment,34.0,3.0,4,0
M,N,Y,0,337500.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,3.0,1,0
F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,30.0,2.0,2,0
M,N,Y,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,41.0,3.0,1,0
F,Y,Y,1,252000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,29.0,2.0,2,0
F,N,N,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,34.0,1.0,1,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,54.0,12.0,2,0
F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,50.0,10.0,1,0
F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,58.0,0.0,1,0
M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,5.0,3,0
M,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,With parents,49.0,5.0,3,0
F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,28.0,4.0,3,0
M,N,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,33.0,2,0
F,N,Y,0,202500.0,Working,Higher education,Married,House / apartment,29.0,4.0,2,0
M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,40.0,9.0,2,0
F,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,39.0,9.0,3,0
F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.0,6.0,3,1
M,Y,Y,1,148500.0,Working,Secondary / secondary special,Married,House / apartment,41.0,14.0,3,0
F,N,N,0,166500.0,Working,Higher education,Separated,House / apartment,60.0,4.0,1,0
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,27.0,4.0,2,0
M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,53.0,1.0,2,0
F,N,N,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,46.0,11.0,1,0
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,2,1
F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,38.0,8.0,2,0
M,Y,N,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,44.0,5.0,2,0
F,Y,Y,0,175500.0,Pensioner,Higher education,Married,House / apartment,60.0,0.0,2,0
F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,40.0,4.0,2,0
F,N,N,1,387000.0,Commercial associate,Higher education,Married,House / apartment,42.0,2.0,3,0
F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,39.0,19.0,4,0
F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,5.0,2,0
F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,52.0,4.0,2,1
F,N,Y,0,67500.0,Working,Secondary / secondary special,Single / not married,House / apartment,50.0,1.0,2,0
F,N,N,1,157500.0,Commercial associate,Higher education,Married,House / apartment,30.0,4.0,3,0
F,Y,Y,1,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,3,0
F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,52.0,0.0,2,0
F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,53.0,12.0,2,0
M,N,N,0,202500.0,State servant,Higher education,Married,House / apartment,35.0,14.0,2,0
M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,1.0,2,1
F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,36.0,7.0,4,0
F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,33.0,4.0,1,0
F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,56.0,0.0,1,0
M,N,Y,1,900000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,12.0,3,0
F,Y,Y,0,450000.0,Pensioner,Higher education,Widow,House / apartment,61.0,0.0,1,0
M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,44.0,2.0,1,0
M,Y,Y,0,116100.0,Working,Secondary / secondary special,Married,House / apartment,28.0,7.0,2,0
F,N,Y,0,47250.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,2,0
F,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51.0,19.0,2,0
F,N,Y,0,202500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,64.0,15.0,1,0
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.0,8.0,2,0
